split,filename,question_id,rollout_idx,prefix_idx,label,prefix_words,total_words,token_length,distance_from_end,yes_count,no_count,total_resamples,mean_yes_position,cot_prefix_n_words,cot_prefix_n_chars
train,bb_causal_judgement_024_rollout_002_prefix_0.json,bb_causal_judgement_024,2,0,no,286,586,,300,,,,,286,1637
train,bb_causal_judgement_024_rollout_003_prefix_0.json,bb_causal_judgement_024,3,0,no,57,357,,300,,,,,57,317
train,bb_causal_judgement_024_rollout_004_prefix_0.json,bb_causal_judgement_024,4,0,yes,500,545,,45,,,,,500,2793
train,bb_causal_judgement_024_rollout_004_prefix_1.json,bb_causal_judgement_024,4,1,yes,490,545,,55,,,,,490,2735
train,bb_causal_judgement_024_rollout_004_prefix_2.json,bb_causal_judgement_024,4,2,no,45,545,,500,,,,,45,254
train,bb_causal_judgement_024_rollout_005_prefix_0.json,bb_causal_judgement_024,5,0,no,44,344,,300,,,,,44,241
train,bb_causal_judgement_024_rollout_006_prefix_0.json,bb_causal_judgement_024,6,0,yes,448,483,,35,,,,,448,2492
train,bb_causal_judgement_024_rollout_007_prefix_0.json,bb_causal_judgement_024,7,0,yes,276,311,,35,,,,,276,1503
train,bb_causal_judgement_024_rollout_008_prefix_0.json,bb_causal_judgement_024,8,0,yes,446,491,,45,,,,,446,2412
train,bb_causal_judgement_024_rollout_008_prefix_1.json,bb_causal_judgement_024,8,1,no,191,491,,300,,,,,191,1027
train,bb_causal_judgement_024_rollout_009_prefix_0.json,bb_causal_judgement_024,9,0,yes,431,466,,35,,,,,431,2470
train,bb_causal_judgement_024_rollout_011_prefix_0.json,bb_causal_judgement_024,11,0,yes,389,424,,35,,,,,389,2132
train,bb_causal_judgement_024_rollout_011_prefix_1.json,bb_causal_judgement_024,11,1,no,124,424,,300,,,,,124,669
train,bb_causal_judgement_024_rollout_012_prefix_0.json,bb_causal_judgement_024,12,0,yes,402,437,,35,,,,,402,2270
train,bb_causal_judgement_024_rollout_013_prefix_0.json,bb_causal_judgement_024,13,0,no,83,383,,300,,,,,83,460
train,bb_causal_judgement_024_rollout_014_prefix_0.json,bb_causal_judgement_024,14,0,yes,305,330,,25,,,,,305,1717
train,bb_causal_judgement_024_rollout_014_prefix_1.json,bb_causal_judgement_024,14,1,yes,285,330,,45,,,,,285,1586
train,bb_causal_judgement_024_rollout_015_prefix_0.json,bb_causal_judgement_024,15,0,no,59,559,,500,,,,,59,348
train,bb_causal_judgement_024_rollout_016_prefix_0.json,bb_causal_judgement_024,16,0,no,173,473,,300,,,,,173,922
train,bb_causal_judgement_024_rollout_017_prefix_0.json,bb_causal_judgement_024,17,0,yes,192,217,,25,,,,,192,1046
train,bb_causal_judgement_024_rollout_018_prefix_0.json,bb_causal_judgement_024,18,0,no,116,416,,300,,,,,116,653
train,bb_causal_judgement_024_rollout_019_prefix_0.json,bb_causal_judgement_024,19,0,yes,658,713,,55,,,,,658,3636
train,bb_causal_judgement_024_rollout_021_prefix_0.json,bb_causal_judgement_024,21,0,no,89,389,,300,,,,,89,506
train,bb_causal_judgement_024_rollout_022_prefix_0.json,bb_causal_judgement_024,22,0,no,44,544,,500,,,,,44,258
train,bb_causal_judgement_024_rollout_025_prefix_0.json,bb_causal_judgement_024,25,0,yes,447,472,,25,,,,,447,2479
train,bb_causal_judgement_024_rollout_025_prefix_1.json,bb_causal_judgement_024,25,1,yes,417,472,,55,,,,,417,2322
train,bb_causal_judgement_024_rollout_026_prefix_0.json,bb_causal_judgement_024,26,0,yes,327,362,,35,,,,,327,1854
train,bb_causal_judgement_024_rollout_026_prefix_1.json,bb_causal_judgement_024,26,1,yes,307,362,,55,,,,,307,1728
train,bb_causal_judgement_024_rollout_026_prefix_2.json,bb_causal_judgement_024,26,2,no,62,362,,300,,,,,62,353
train,bb_causal_judgement_024_rollout_028_prefix_0.json,bb_causal_judgement_024,28,0,yes,431,486,,55,,,,,431,2343
train,bb_causal_judgement_024_rollout_028_prefix_1.json,bb_causal_judgement_024,28,1,no,186,486,,300,,,,,186,1011
train,bb_causal_judgement_024_rollout_029_prefix_0.json,bb_causal_judgement_024,29,0,yes,466,521,,55,,,,,466,2616
train,bb_causal_judgement_042_rollout_000_prefix_0.json,bb_causal_judgement_042,0,0,yes,607,652,,45,,,,,607,3379
train,bb_causal_judgement_042_rollout_000_prefix_1.json,bb_causal_judgement_042,0,1,no,352,652,,300,,,,,352,1923
train,bb_causal_judgement_042_rollout_001_prefix_0.json,bb_causal_judgement_042,1,0,yes,459,514,,55,,,,,459,2555
train,bb_causal_judgement_042_rollout_002_prefix_0.json,bb_causal_judgement_042,2,0,yes,370,415,,45,,,,,370,2081
train,bb_causal_judgement_042_rollout_002_prefix_1.json,bb_causal_judgement_042,2,1,no,115,415,,300,,,,,115,606
train,bb_causal_judgement_042_rollout_003_prefix_0.json,bb_causal_judgement_042,3,0,yes,339,374,,35,,,,,339,1940
train,bb_causal_judgement_042_rollout_003_prefix_1.json,bb_causal_judgement_042,3,1,yes,329,374,,45,,,,,329,1886
train,bb_causal_judgement_042_rollout_004_prefix_0.json,bb_causal_judgement_042,4,0,no,403,703,,300,,,,,403,2276
train,bb_causal_judgement_042_rollout_005_prefix_0.json,bb_causal_judgement_042,5,0,yes,406,431,,25,,,,,406,2325
train,bb_causal_judgement_042_rollout_005_prefix_1.json,bb_causal_judgement_042,5,1,yes,386,431,,45,,,,,386,2225
train,bb_causal_judgement_042_rollout_005_prefix_2.json,bb_causal_judgement_042,5,2,no,131,431,,300,,,,,131,739
train,bb_causal_judgement_042_rollout_007_prefix_0.json,bb_causal_judgement_042,7,0,no,522,822,,300,,,,,522,3055
train,bb_causal_judgement_042_rollout_008_prefix_0.json,bb_causal_judgement_042,8,0,no,50,350,,300,,,,,50,300
train,bb_causal_judgement_042_rollout_009_prefix_0.json,bb_causal_judgement_042,9,0,yes,488,513,,25,,,,,488,2781
train,bb_causal_judgement_042_rollout_009_prefix_1.json,bb_causal_judgement_042,9,1,yes,478,513,,35,,,,,478,2720
train,bb_causal_judgement_042_rollout_010_prefix_0.json,bb_causal_judgement_042,10,0,yes,963,1008,,45,,,,,963,5413
train,bb_causal_judgement_042_rollout_010_prefix_1.json,bb_causal_judgement_042,10,1,no,508,1008,,500,,,,,508,2806
train,bb_causal_judgement_042_rollout_010_prefix_2.json,bb_causal_judgement_042,10,2,no,108,1008,,900,,,,,108,614
train,bb_causal_judgement_042_rollout_011_prefix_0.json,bb_causal_judgement_042,11,0,no,182,482,,300,,,,,182,1037
train,bb_causal_judgement_042_rollout_012_prefix_0.json,bb_causal_judgement_042,12,0,no,190,690,,500,,,,,190,1038
train,bb_causal_judgement_042_rollout_013_prefix_0.json,bb_causal_judgement_042,13,0,yes,444,469,,25,,,,,444,2590
train,bb_causal_judgement_042_rollout_014_prefix_0.json,bb_causal_judgement_042,14,0,no,243,543,,300,,,,,243,1356
train,bb_causal_judgement_042_rollout_014_prefix_1.json,bb_causal_judgement_042,14,1,no,43,543,,500,,,,,43,263
train,bb_causal_judgement_042_rollout_015_prefix_0.json,bb_causal_judgement_042,15,0,no,211,511,,300,,,,,211,1220
train,bb_causal_judgement_042_rollout_016_prefix_0.json,bb_causal_judgement_042,16,0,yes,361,406,,45,,,,,361,2021
train,bb_causal_judgement_042_rollout_017_prefix_0.json,bb_causal_judgement_042,17,0,yes,646,691,,45,,,,,646,3707
train,bb_causal_judgement_042_rollout_017_prefix_1.json,bb_causal_judgement_042,17,1,no,391,691,,300,,,,,391,2184
train,bb_causal_judgement_042_rollout_018_prefix_0.json,bb_causal_judgement_042,18,0,yes,726,781,,55,,,,,726,4059
train,bb_causal_judgement_042_rollout_018_prefix_1.json,bb_causal_judgement_042,18,1,no,281,781,,500,,,,,281,1501
train,bb_causal_judgement_042_rollout_018_prefix_2.json,bb_causal_judgement_042,18,2,no,81,781,,700,,,,,81,457
train,bb_causal_judgement_042_rollout_019_prefix_0.json,bb_causal_judgement_042,19,0,yes,630,675,,45,,,,,630,3635
train,bb_causal_judgement_042_rollout_019_prefix_1.json,bb_causal_judgement_042,19,1,no,375,675,,300,,,,,375,2144
train,bb_causal_judgement_042_rollout_019_prefix_2.json,bb_causal_judgement_042,19,2,no,175,675,,500,,,,,175,1008
train,bb_causal_judgement_042_rollout_020_prefix_0.json,bb_causal_judgement_042,20,0,yes,363,398,,35,,,,,363,2152
train,bb_causal_judgement_042_rollout_020_prefix_1.json,bb_causal_judgement_042,20,1,no,98,398,,300,,,,,98,560
train,bb_causal_judgement_042_rollout_021_prefix_0.json,bb_causal_judgement_042,21,0,yes,362,397,,35,,,,,362,2032
train,bb_causal_judgement_042_rollout_021_prefix_1.json,bb_causal_judgement_042,21,1,yes,352,397,,45,,,,,352,1983
train,bb_causal_judgement_042_rollout_022_prefix_0.json,bb_causal_judgement_042,22,0,yes,433,458,,25,,,,,433,2535
train,bb_causal_judgement_042_rollout_022_prefix_1.json,bb_causal_judgement_042,22,1,yes,413,458,,45,,,,,413,2417
train,bb_causal_judgement_042_rollout_022_prefix_2.json,bb_causal_judgement_042,22,2,no,158,458,,300,,,,,158,907
train,bb_causal_judgement_042_rollout_023_prefix_0.json,bb_causal_judgement_042,23,0,no,383,683,,300,,,,,383,2105
train,bb_causal_judgement_042_rollout_024_prefix_0.json,bb_causal_judgement_042,24,0,yes,473,518,,45,,,,,473,2623
train,bb_causal_judgement_042_rollout_024_prefix_1.json,bb_causal_judgement_042,24,1,no,218,518,,300,,,,,218,1226
train,bb_causal_judgement_042_rollout_025_prefix_0.json,bb_causal_judgement_042,25,0,no,214,514,,300,,,,,214,1160
train,bb_causal_judgement_042_rollout_026_prefix_0.json,bb_causal_judgement_042,26,0,yes,839,874,,35,,,,,839,4753
train,bb_causal_judgement_042_rollout_026_prefix_1.json,bb_causal_judgement_042,26,1,no,374,874,,500,,,,,374,2080
train,bb_causal_judgement_042_rollout_026_prefix_2.json,bb_causal_judgement_042,26,2,no,174,874,,700,,,,,174,971
train,bb_causal_judgement_042_rollout_027_prefix_0.json,bb_causal_judgement_042,27,0,yes,489,534,,45,,,,,489,2686
train,bb_causal_judgement_042_rollout_028_prefix_0.json,bb_causal_judgement_042,28,0,no,97,597,,500,,,,,97,563
train,bb_causal_judgement_042_rollout_029_prefix_0.json,bb_causal_judgement_042,29,0,yes,754,809,,55,,,,,754,4418
train,bb_causal_judgement_042_rollout_029_prefix_1.json,bb_causal_judgement_042,29,1,no,309,809,,500,,,,,309,1766
train,bb_causal_judgement_048_rollout_000_prefix_0.json,bb_causal_judgement_048,0,0,yes,552,587,,35,,,,,552,3295
train,bb_causal_judgement_048_rollout_000_prefix_1.json,bb_causal_judgement_048,0,1,yes,542,587,,45,,,,,542,3244
train,bb_causal_judgement_048_rollout_000_prefix_2.json,bb_causal_judgement_048,0,2,yes,532,587,,55,,,,,532,3183
train,bb_causal_judgement_048_rollout_000_prefix_3.json,bb_causal_judgement_048,0,3,no,287,587,,300,,,,,287,1699
train,bb_causal_judgement_048_rollout_000_prefix_4.json,bb_causal_judgement_048,0,4,no,87,587,,500,,,,,87,496
train,bb_causal_judgement_048_rollout_001_prefix_0.json,bb_causal_judgement_048,1,0,yes,410,455,,45,,,,,410,2366
train,bb_causal_judgement_048_rollout_002_prefix_0.json,bb_causal_judgement_048,2,0,yes,375,410,,35,,,,,375,2194
train,bb_causal_judgement_048_rollout_002_prefix_1.json,bb_causal_judgement_048,2,1,yes,355,410,,55,,,,,355,2085
train,bb_causal_judgement_048_rollout_002_prefix_2.json,bb_causal_judgement_048,2,2,no,110,410,,300,,,,,110,615
train,bb_causal_judgement_048_rollout_003_prefix_0.json,bb_causal_judgement_048,3,0,yes,411,436,,25,,,,,411,2409
train,bb_causal_judgement_048_rollout_005_prefix_0.json,bb_causal_judgement_048,5,0,yes,607,632,,25,,,,,607,3418
train,bb_causal_judgement_048_rollout_005_prefix_1.json,bb_causal_judgement_048,5,1,no,332,632,,300,,,,,332,1839
train,bb_causal_judgement_048_rollout_005_prefix_2.json,bb_causal_judgement_048,5,2,no,132,632,,500,,,,,132,699
train,bb_causal_judgement_048_rollout_006_prefix_0.json,bb_causal_judgement_048,6,0,yes,482,527,,45,,,,,482,2803
train,bb_causal_judgement_048_rollout_006_prefix_1.json,bb_causal_judgement_048,6,1,yes,472,527,,55,,,,,472,2747
train,bb_causal_judgement_048_rollout_006_prefix_2.json,bb_causal_judgement_048,6,2,no,227,527,,300,,,,,227,1282
train,bb_causal_judgement_048_rollout_006_prefix_3.json,bb_causal_judgement_048,6,3,no,27,527,,500,,,,,27,145
train,bb_causal_judgement_048_rollout_007_prefix_0.json,bb_causal_judgement_048,7,0,yes,219,274,,55,,,,,219,1270
train,bb_causal_judgement_048_rollout_009_prefix_0.json,bb_causal_judgement_048,9,0,yes,453,478,,25,,,,,453,2640
train,bb_causal_judgement_048_rollout_011_prefix_0.json,bb_causal_judgement_048,11,0,yes,392,417,,25,,,,,392,2268
train,bb_causal_judgement_048_rollout_011_prefix_1.json,bb_causal_judgement_048,11,1,no,117,417,,300,,,,,117,685
train,bb_causal_judgement_048_rollout_012_prefix_0.json,bb_causal_judgement_048,12,0,no,145,445,,300,,,,,145,835
train,bb_causal_judgement_048_rollout_013_prefix_0.json,bb_causal_judgement_048,13,0,yes,356,401,,45,,,,,356,2064
train,bb_causal_judgement_048_rollout_014_prefix_0.json,bb_causal_judgement_048,14,0,yes,408,433,,25,,,,,408,2511
train,bb_causal_judgement_048_rollout_014_prefix_1.json,bb_causal_judgement_048,14,1,yes,398,433,,35,,,,,398,2443
train,bb_causal_judgement_048_rollout_014_prefix_2.json,bb_causal_judgement_048,14,2,yes,388,433,,45,,,,,388,2379
train,bb_causal_judgement_048_rollout_015_prefix_0.json,bb_causal_judgement_048,15,0,yes,506,551,,45,,,,,506,3040
train,bb_causal_judgement_048_rollout_015_prefix_1.json,bb_causal_judgement_048,15,1,no,251,551,,300,,,,,251,1472
train,bb_causal_judgement_048_rollout_015_prefix_2.json,bb_causal_judgement_048,15,2,no,51,551,,500,,,,,51,298
train,bb_causal_judgement_048_rollout_016_prefix_0.json,bb_causal_judgement_048,16,0,yes,500,545,,45,,,,,500,2951
train,bb_causal_judgement_048_rollout_016_prefix_1.json,bb_causal_judgement_048,16,1,no,45,545,,500,,,,,45,269
train,bb_causal_judgement_048_rollout_017_prefix_0.json,bb_causal_judgement_048,17,0,yes,600,625,,25,,,,,600,3584
train,bb_causal_judgement_048_rollout_017_prefix_1.json,bb_causal_judgement_048,17,1,no,125,625,,500,,,,,125,693
train,bb_causal_judgement_048_rollout_018_prefix_0.json,bb_causal_judgement_048,18,0,no,35,535,,500,,,,,35,187
train,bb_causal_judgement_048_rollout_019_prefix_0.json,bb_causal_judgement_048,19,0,yes,814,859,,45,,,,,814,4742
train,bb_causal_judgement_048_rollout_019_prefix_1.json,bb_causal_judgement_048,19,1,no,359,859,,500,,,,,359,2052
train,bb_causal_judgement_048_rollout_020_prefix_0.json,bb_causal_judgement_048,20,0,yes,606,631,,25,,,,,606,3484
train,bb_causal_judgement_048_rollout_020_prefix_1.json,bb_causal_judgement_048,20,1,no,331,631,,300,,,,,331,1949
train,bb_causal_judgement_048_rollout_021_prefix_0.json,bb_causal_judgement_048,21,0,yes,582,607,,25,,,,,582,3458
train,bb_causal_judgement_048_rollout_021_prefix_1.json,bb_causal_judgement_048,21,1,yes,552,607,,55,,,,,552,3262
train,bb_causal_judgement_048_rollout_021_prefix_2.json,bb_causal_judgement_048,21,2,no,307,607,,300,,,,,307,1762
train,bb_causal_judgement_048_rollout_022_prefix_0.json,bb_causal_judgement_048,22,0,yes,457,512,,55,,,,,457,2644
train,bb_causal_judgement_048_rollout_022_prefix_1.json,bb_causal_judgement_048,22,1,no,212,512,,300,,,,,212,1227
train,bb_causal_judgement_048_rollout_023_prefix_0.json,bb_causal_judgement_048,23,0,yes,540,585,,45,,,,,540,3162
train,bb_causal_judgement_048_rollout_023_prefix_1.json,bb_causal_judgement_048,23,1,yes,530,585,,55,,,,,530,3114
train,bb_causal_judgement_048_rollout_023_prefix_2.json,bb_causal_judgement_048,23,2,no,85,585,,500,,,,,85,467
train,bb_causal_judgement_048_rollout_024_prefix_0.json,bb_causal_judgement_048,24,0,yes,574,609,,35,,,,,574,3274
train,bb_causal_judgement_048_rollout_024_prefix_1.json,bb_causal_judgement_048,24,1,no,109,609,,500,,,,,109,620
train,bb_causal_judgement_048_rollout_025_prefix_0.json,bb_causal_judgement_048,25,0,yes,429,464,,35,,,,,429,2501
train,bb_causal_judgement_048_rollout_025_prefix_1.json,bb_causal_judgement_048,25,1,yes,419,464,,45,,,,,419,2458
train,bb_causal_judgement_048_rollout_025_prefix_2.json,bb_causal_judgement_048,25,2,no,164,464,,300,,,,,164,919
train,bb_causal_judgement_048_rollout_026_prefix_0.json,bb_causal_judgement_048,26,0,yes,433,458,,25,,,,,433,2591
train,bb_causal_judgement_048_rollout_027_prefix_0.json,bb_causal_judgement_048,27,0,yes,237,262,,25,,,,,237,1353
train,bb_causal_judgement_048_rollout_027_prefix_1.json,bb_causal_judgement_048,27,1,yes,217,262,,45,,,,,217,1248
train,bb_causal_judgement_048_rollout_028_prefix_0.json,bb_causal_judgement_048,28,0,yes,300,355,,55,,,,,300,1748
train,bb_causal_judgement_048_rollout_029_prefix_0.json,bb_causal_judgement_048,29,0,yes,415,450,,35,,,,,415,2369
train,bb_causal_judgement_059_rollout_000_prefix_0.json,bb_causal_judgement_059,0,0,yes,684,709,,25,,,,,684,3962
train,bb_causal_judgement_059_rollout_000_prefix_1.json,bb_causal_judgement_059,0,1,yes,674,709,,35,,,,,674,3902
train,bb_causal_judgement_059_rollout_000_prefix_2.json,bb_causal_judgement_059,0,2,no,409,709,,300,,,,,409,2350
train,bb_causal_judgement_059_rollout_000_prefix_3.json,bb_causal_judgement_059,0,3,no,209,709,,500,,,,,209,1174
train,bb_causal_judgement_059_rollout_001_prefix_0.json,bb_causal_judgement_059,1,0,yes,688,723,,35,,,,,688,3941
train,bb_causal_judgement_059_rollout_002_prefix_0.json,bb_causal_judgement_059,2,0,no,636,936,,300,,,,,636,3516
train,bb_causal_judgement_059_rollout_002_prefix_1.json,bb_causal_judgement_059,2,1,no,436,936,,500,,,,,436,2407
train,bb_causal_judgement_059_rollout_002_prefix_2.json,bb_causal_judgement_059,2,2,no,236,936,,700,,,,,236,1273
train,bb_causal_judgement_059_rollout_002_prefix_3.json,bb_causal_judgement_059,2,3,no,36,936,,900,,,,,36,202
train,bb_causal_judgement_059_rollout_003_prefix_0.json,bb_causal_judgement_059,3,0,no,328,628,,300,,,,,328,1852
train,bb_causal_judgement_059_rollout_004_prefix_0.json,bb_causal_judgement_059,4,0,yes,578,613,,35,,,,,578,3361
train,bb_causal_judgement_059_rollout_005_prefix_0.json,bb_causal_judgement_059,5,0,no,712,1012,,300,,,,,712,3839
train,bb_causal_judgement_059_rollout_005_prefix_1.json,bb_causal_judgement_059,5,1,no,512,1012,,500,,,,,512,2742
train,bb_causal_judgement_059_rollout_005_prefix_2.json,bb_causal_judgement_059,5,2,no,312,1012,,700,,,,,312,1747
train,bb_causal_judgement_059_rollout_005_prefix_3.json,bb_causal_judgement_059,5,3,no,112,1012,,900,,,,,112,633
train,bb_causal_judgement_059_rollout_006_prefix_0.json,bb_causal_judgement_059,6,0,yes,1573,1608,,35,,,,,1573,8795
train,bb_causal_judgement_059_rollout_006_prefix_1.json,bb_causal_judgement_059,6,1,yes,1563,1608,,45,,,,,1563,8725
train,bb_causal_judgement_059_rollout_006_prefix_2.json,bb_causal_judgement_059,6,2,no,1308,1608,,300,,,,,1308,7254
train,bb_causal_judgement_059_rollout_006_prefix_3.json,bb_causal_judgement_059,6,3,no,1108,1608,,500,,,,,1108,6214
train,bb_causal_judgement_059_rollout_006_prefix_4.json,bb_causal_judgement_059,6,4,no,708,1608,,900,,,,,708,3935
train,bb_causal_judgement_059_rollout_006_prefix_5.json,bb_causal_judgement_059,6,5,no,508,1608,,1100,,,,,508,2756
train,bb_causal_judgement_059_rollout_007_prefix_0.json,bb_causal_judgement_059,7,0,yes,1498,1523,,25,,,,,1498,8439
train,bb_causal_judgement_059_rollout_007_prefix_1.json,bb_causal_judgement_059,7,1,yes,1488,1523,,35,,,,,1488,8379
train,bb_causal_judgement_059_rollout_007_prefix_2.json,bb_causal_judgement_059,7,2,yes,1478,1523,,45,,,,,1478,8331
train,bb_causal_judgement_059_rollout_007_prefix_3.json,bb_causal_judgement_059,7,3,no,623,1523,,900,,,,,623,3581
train,bb_causal_judgement_059_rollout_007_prefix_4.json,bb_causal_judgement_059,7,4,no,423,1523,,1100,,,,,423,2385
train,bb_causal_judgement_059_rollout_007_prefix_5.json,bb_causal_judgement_059,7,5,no,223,1523,,1300,,,,,223,1216
train,bb_causal_judgement_059_rollout_007_prefix_6.json,bb_causal_judgement_059,7,6,no,23,1523,,1500,,,,,23,122
train,bb_causal_judgement_059_rollout_008_prefix_0.json,bb_causal_judgement_059,8,0,yes,1247,1282,,35,,,,,1247,7094
train,bb_causal_judgement_059_rollout_008_prefix_1.json,bb_causal_judgement_059,8,1,no,782,1282,,500,,,,,782,4356
train,bb_causal_judgement_059_rollout_008_prefix_2.json,bb_causal_judgement_059,8,2,no,582,1282,,700,,,,,582,3227
train,bb_causal_judgement_059_rollout_009_prefix_0.json,bb_causal_judgement_059,9,0,yes,599,624,,25,,,,,599,3455
train,bb_causal_judgement_059_rollout_009_prefix_1.json,bb_causal_judgement_059,9,1,no,324,624,,300,,,,,324,1851
