split,filename,question_id,rollout_idx,prefix_idx,label,family,n_words,n_tokens
train,bb_causal_judgement_084_rollout_018_prefix_1.json,bb_causal_judgement_084,18,1,yes,big_bench,402,632
train,bb_causal_judgement_084_rollout_019_prefix_2.json,bb_causal_judgement_084,19,2,no,big_bench,31,183
train,bb_causal_judgement_084_rollout_020_prefix_0.json,bb_causal_judgement_084,20,0,yes,big_bench,301,500
train,bb_causal_judgement_084_rollout_022_prefix_0.json,bb_causal_judgement_084,22,0,yes,big_bench,494,765
train,bb_causal_judgement_084_rollout_024_prefix_0.json,bb_causal_judgement_084,24,0,yes,big_bench,526,751
train,bb_causal_judgement_084_rollout_026_prefix_0.json,bb_causal_judgement_084,26,0,yes,big_bench,659,944
train,bb_causal_judgement_084_rollout_028_prefix_0.json,bb_causal_judgement_084,28,0,no,big_bench,373,601
train,bb_causal_judgement_093_rollout_000_prefix_1.json,bb_causal_judgement_093,0,1,no,big_bench,468,734
train,bb_causal_judgement_093_rollout_013_prefix_0.json,bb_causal_judgement_093,13,0,yes,big_bench,733,1050
train,bb_causal_judgement_093_rollout_015_prefix_1.json,bb_causal_judgement_093,15,1,no,big_bench,305,544
train,bb_causal_judgement_093_rollout_019_prefix_3.json,bb_causal_judgement_093,19,3,no,big_bench,695,1025
train,bb_causal_judgement_093_rollout_020_prefix_1.json,bb_causal_judgement_093,20,1,no,big_bench,770,1132
train,bb_causal_judgement_093_rollout_020_prefix_2.json,bb_causal_judgement_093,20,2,no,big_bench,570,898
train,bb_causal_judgement_093_rollout_029_prefix_0.json,bb_causal_judgement_093,29,0,yes,big_bench,553,802
train,bb_causal_judgement_096_rollout_002_prefix_3.json,bb_causal_judgement_096,2,3,no,big_bench,463,641
train,bb_causal_judgement_096_rollout_009_prefix_1.json,bb_causal_judgement_096,9,1,no,big_bench,256,409
train,bb_causal_judgement_096_rollout_015_prefix_1.json,bb_causal_judgement_096,15,1,yes,big_bench,446,617
train,bb_causal_judgement_096_rollout_023_prefix_0.json,bb_causal_judgement_096,23,0,yes,big_bench,393,566
train,bb_causal_judgement_103_rollout_011_prefix_0.json,bb_causal_judgement_103,11,0,yes,big_bench,743,1187
train,bb_causal_judgement_103_rollout_014_prefix_0.json,bb_causal_judgement_103,14,0,yes,big_bench,195,464
train,bb_causal_judgement_103_rollout_014_prefix_1.json,bb_causal_judgement_103,14,1,yes,big_bench,185,450
train,bb_causal_judgement_103_rollout_017_prefix_0.json,bb_causal_judgement_103,17,0,yes,big_bench,289,608
train,bb_causal_judgement_103_rollout_019_prefix_0.json,bb_causal_judgement_103,19,0,yes,big_bench,271,580
train,bb_causal_judgement_126_rollout_001_prefix_2.json,bb_causal_judgement_126,1,2,no,big_bench,91,466
train,bb_causal_judgement_126_rollout_004_prefix_0.json,bb_causal_judgement_126,4,0,no,big_bench,49,412
train,bb_causal_judgement_126_rollout_019_prefix_0.json,bb_causal_judgement_126,19,0,yes,big_bench,696,1298
train,bb_causal_judgement_127_rollout_002_prefix_1.json,bb_causal_judgement_127,2,1,no,big_bench,634,916
train,bb_causal_judgement_127_rollout_003_prefix_1.json,bb_causal_judgement_127,3,1,no,big_bench,39,199
train,bb_causal_judgement_127_rollout_017_prefix_1.json,bb_causal_judgement_127,17,1,no,big_bench,103,287
train,bb_causal_judgement_127_rollout_021_prefix_0.json,bb_causal_judgement_127,21,0,no,big_bench,347,599
train,bb_causal_judgement_146_rollout_006_prefix_2.json,bb_causal_judgement_146,6,2,no,big_bench,153,508
train,bb_causal_judgement_146_rollout_009_prefix_1.json,bb_causal_judgement_146,9,1,no,big_bench,158,498
train,bb_causal_judgement_170_rollout_001_prefix_1.json,bb_causal_judgement_170,1,1,no,big_bench,309,651
train,bb_causal_judgement_170_rollout_015_prefix_0.json,bb_causal_judgement_170,15,0,yes,big_bench,340,691
train,bb_causal_judgement_170_rollout_016_prefix_0.json,bb_causal_judgement_170,16,0,yes,big_bench,520,908
train,bb_causal_judgement_170_rollout_019_prefix_0.json,bb_causal_judgement_170,19,0,no,big_bench,313,666
train,bb_causal_judgement_170_rollout_020_prefix_0.json,bb_causal_judgement_170,20,0,yes,big_bench,441,795
train,bb_causal_judgement_170_rollout_021_prefix_1.json,bb_causal_judgement_170,21,1,no,big_bench,110,382
train,bb_causal_judgement_174_rollout_014_prefix_0.json,bb_causal_judgement_174,14,0,no,big_bench,98,252
train,bb_causal_judgement_174_rollout_019_prefix_0.json,bb_causal_judgement_174,19,0,yes,big_bench,375,591
train,bb_causal_judgement_174_rollout_019_prefix_1.json,bb_causal_judgement_174,19,1,yes,big_bench,355,567
train,bb_causal_judgement_174_rollout_019_prefix_2.json,bb_causal_judgement_174,19,2,no,big_bench,100,257
train,bb_causal_judgement_174_rollout_024_prefix_1.json,bb_causal_judgement_174,24,1,yes,big_bench,366,573
train,bb_causal_judgement_186_rollout_001_prefix_0.json,bb_causal_judgement_186,1,0,no,big_bench,171,650
train,bb_date_understanding_003_rollout_003_prefix_1.json,bb_date_understanding_003,3,1,no,big_bench,1862,3230
train,bb_date_understanding_003_rollout_003_prefix_2.json,bb_date_understanding_003,3,2,no,big_bench,1662,2907
train,bb_date_understanding_003_rollout_006_prefix_0.json,bb_date_understanding_003,6,0,yes,big_bench,242,538
train,bb_date_understanding_003_rollout_012_prefix_1.json,bb_date_understanding_003,12,1,yes,big_bench,278,582
train,bb_date_understanding_003_rollout_016_prefix_1.json,bb_date_understanding_003,16,1,no,big_bench,437,868
train,bb_date_understanding_003_rollout_018_prefix_0.json,bb_date_understanding_003,18,0,yes,big_bench,797,1398
train,bb_date_understanding_003_rollout_028_prefix_1.json,bb_date_understanding_003,28,1,yes,big_bench,339,709
train,bb_date_understanding_017_rollout_012_prefix_6.json,bb_date_understanding_017,12,6,no,big_bench,1084,2110
train,bb_date_understanding_017_rollout_017_prefix_1.json,bb_date_understanding_017,17,1,yes,big_bench,786,1611
train,bb_date_understanding_017_rollout_018_prefix_7.json,bb_date_understanding_017,18,7,no,big_bench,303,647
train,bb_date_understanding_017_rollout_021_prefix_1.json,bb_date_understanding_017,21,1,no,big_bench,1867,3532
train,bb_date_understanding_017_rollout_021_prefix_5.json,bb_date_understanding_017,21,5,no,big_bench,867,1643
train,bb_date_understanding_017_rollout_022_prefix_19.json,bb_date_understanding_017,22,19,no,big_bench,538,1128
train,bb_date_understanding_017_rollout_026_prefix_2.json,bb_date_understanding_017,26,2,no,big_bench,438,947
train,bb_date_understanding_017_rollout_027_prefix_1.json,bb_date_understanding_017,27,1,no,big_bench,2808,5394
train,bb_date_understanding_017_rollout_029_prefix_3.json,bb_date_understanding_017,29,3,no,big_bench,545,1154
train,bb_date_understanding_035_rollout_024_prefix_3.json,bb_date_understanding_035,24,3,no,big_bench,233,516
train,bb_date_understanding_035_rollout_028_prefix_0.json,bb_date_understanding_035,28,0,yes,big_bench,223,513
train,bb_date_understanding_063_rollout_003_prefix_0.json,bb_date_understanding_063,3,0,yes,big_bench,297,617
train,bb_date_understanding_063_rollout_003_prefix_1.json,bb_date_understanding_063,3,1,yes,big_bench,287,600
train,bb_date_understanding_063_rollout_012_prefix_1.json,bb_date_understanding_063,12,1,yes,big_bench,146,359
train,bb_date_understanding_063_rollout_026_prefix_1.json,bb_date_understanding_063,26,1,yes,big_bench,263,540
train,bb_date_understanding_098_rollout_001_prefix_1.json,bb_date_understanding_098,1,1,yes,big_bench,763,1564
train,bb_date_understanding_098_rollout_001_prefix_3.json,bb_date_understanding_098,1,3,no,big_bench,318,806
train,bb_date_understanding_098_rollout_003_prefix_0.json,bb_date_understanding_098,3,0,yes,big_bench,392,906
train,bb_date_understanding_098_rollout_005_prefix_0.json,bb_date_understanding_098,5,0,yes,big_bench,501,1128
train,bb_date_understanding_098_rollout_006_prefix_1.json,bb_date_understanding_098,6,1,no,big_bench,54,235
train,bb_date_understanding_098_rollout_008_prefix_0.json,bb_date_understanding_098,8,0,yes,big_bench,681,1361
train,bb_date_understanding_098_rollout_010_prefix_1.json,bb_date_understanding_098,10,1,no,big_bench,226,492
train,bb_date_understanding_098_rollout_016_prefix_1.json,bb_date_understanding_098,16,1,no,big_bench,64,257
train,bb_date_understanding_098_rollout_027_prefix_1.json,bb_date_understanding_098,27,1,no,big_bench,519,1082
train,bb_date_understanding_108_rollout_002_prefix_0.json,bb_date_understanding_108,2,0,yes,big_bench,302,674
train,bb_date_understanding_108_rollout_004_prefix_0.json,bb_date_understanding_108,4,0,yes,big_bench,1409,2539
train,bb_date_understanding_108_rollout_004_prefix_3.json,bb_date_understanding_108,4,3,no,big_bench,1134,2105
train,bb_date_understanding_108_rollout_004_prefix_8.json,bb_date_understanding_108,4,8,no,big_bench,134,405
train,bb_date_understanding_108_rollout_009_prefix_1.json,bb_date_understanding_108,9,1,no,big_bench,33,184
train,bb_date_understanding_108_rollout_027_prefix_1.json,bb_date_understanding_108,27,1,yes,big_bench,643,1129
train,bb_date_understanding_112_rollout_020_prefix_0.json,bb_date_understanding_112,20,0,yes,big_bench,411,894
train,bb_date_understanding_112_rollout_029_prefix_0.json,bb_date_understanding_112,29,0,yes,big_bench,450,937
train,bb_date_understanding_127_rollout_009_prefix_1.json,bb_date_understanding_127,9,1,no,big_bench,115,274
train,bb_date_understanding_127_rollout_013_prefix_0.json,bb_date_understanding_127,13,0,no,big_bench,124,300
train,bb_date_understanding_127_rollout_017_prefix_1.json,bb_date_understanding_127,17,1,yes,big_bench,333,646
train,bb_date_understanding_127_rollout_025_prefix_0.json,bb_date_understanding_127,25,0,yes,big_bench,409,785
train,bb_date_understanding_134_rollout_010_prefix_2.json,bb_date_understanding_134,10,2,no,big_bench,296,679
train,bb_date_understanding_150_rollout_005_prefix_0.json,bb_date_understanding_150,5,0,yes,big_bench,322,785
train,bb_date_understanding_150_rollout_007_prefix_2.json,bb_date_understanding_150,7,2,no,big_bench,256,630
train,bb_date_understanding_150_rollout_008_prefix_0.json,bb_date_understanding_150,8,0,yes,big_bench,303,715
train,bb_date_understanding_150_rollout_012_prefix_0.json,bb_date_understanding_150,12,0,yes,big_bench,291,697
train,bb_date_understanding_150_rollout_014_prefix_1.json,bb_date_understanding_150,14,1,no,big_bench,266,682
train,bb_date_understanding_150_rollout_018_prefix_2.json,bb_date_understanding_150,18,2,no,big_bench,48,239
train,bb_date_understanding_174_rollout_025_prefix_0.json,bb_date_understanding_174,25,0,yes,big_bench,197,431
train,bb_date_understanding_186_rollout_001_prefix_0.json,bb_date_understanding_186,1,0,no,big_bench,231,523
train,bb_date_understanding_186_rollout_002_prefix_0.json,bb_date_understanding_186,2,0,yes,big_bench,284,605
train,bb_date_understanding_186_rollout_015_prefix_4.json,bb_date_understanding_186,15,4,no,big_bench,26,171
train,bb_date_understanding_186_rollout_019_prefix_0.json,bb_date_understanding_186,19,0,yes,big_bench,295,691
train,bb_date_understanding_186_rollout_028_prefix_0.json,bb_date_understanding_186,28,0,yes,big_bench,969,1809
train,bb_date_understanding_214_rollout_001_prefix_1.json,bb_date_understanding_214,1,1,no,big_bench,90,275
train,bb_date_understanding_214_rollout_003_prefix_0.json,bb_date_understanding_214,3,0,yes,big_bench,269,580
train,bb_date_understanding_214_rollout_005_prefix_0.json,bb_date_understanding_214,5,0,yes,big_bench,470,942
train,bb_date_understanding_214_rollout_014_prefix_0.json,bb_date_understanding_214,14,0,yes,big_bench,1048,1948
train,bb_date_understanding_214_rollout_026_prefix_0.json,bb_date_understanding_214,26,0,yes,big_bench,322,614
train,bb_date_understanding_220_rollout_007_prefix_0.json,bb_date_understanding_220,7,0,yes,big_bench,238,551
train,bb_date_understanding_220_rollout_028_prefix_2.json,bb_date_understanding_220,28,2,yes,big_bench,98,313
train,bb_date_understanding_229_rollout_001_prefix_0.json,bb_date_understanding_229,1,0,no,big_bench,97,281
train,bb_date_understanding_229_rollout_013_prefix_1.json,bb_date_understanding_229,13,1,yes,big_bench,962,1768
train,bb_date_understanding_229_rollout_016_prefix_2.json,bb_date_understanding_229,16,2,no,big_bench,669,1250
train,bb_date_understanding_229_rollout_016_prefix_3.json,bb_date_understanding_229,16,3,no,big_bench,69,225
train,bb_date_understanding_242_rollout_014_prefix_1.json,bb_date_understanding_242,14,1,yes,big_bench,171,393
train,bb_logical_deduction_five_objects_005_rollout_000_prefix_3.json,bb_logical_deduction_five_objects_005,0,3,no,big_bench,279,534
train,bb_logical_deduction_five_objects_005_rollout_004_prefix_1.json,bb_logical_deduction_five_objects_005,4,1,yes,big_bench,1074,1628
train,bb_logical_deduction_five_objects_005_rollout_014_prefix_3.json,bb_logical_deduction_five_objects_005,14,3,no,big_bench,497,853
train,bb_logical_deduction_five_objects_005_rollout_020_prefix_4.json,bb_logical_deduction_five_objects_005,20,4,no,big_bench,186,422
train,bb_logical_deduction_five_objects_005_rollout_021_prefix_1.json,bb_logical_deduction_five_objects_005,21,1,yes,big_bench,953,1457
train,bb_logical_deduction_five_objects_005_rollout_021_prefix_2.json,bb_logical_deduction_five_objects_005,21,2,no,big_bench,698,1108
train,bb_logical_deduction_five_objects_005_rollout_023_prefix_1.json,bb_logical_deduction_five_objects_005,23,1,no,big_bench,826,1230
train,bb_logical_deduction_five_objects_005_rollout_024_prefix_2.json,bb_logical_deduction_five_objects_005,24,2,no,big_bench,276,526
train,bb_logical_deduction_five_objects_005_rollout_025_prefix_2.json,bb_logical_deduction_five_objects_005,25,2,no,big_bench,273,549
train,bb_logical_deduction_five_objects_010_rollout_003_prefix_1.json,bb_logical_deduction_five_objects_010,3,1,no,big_bench,374,752
train,bb_logical_deduction_five_objects_010_rollout_005_prefix_2.json,bb_logical_deduction_five_objects_010,5,2,no,big_bench,156,406
train,bb_logical_deduction_five_objects_010_rollout_010_prefix_1.json,bb_logical_deduction_five_objects_010,10,1,no,big_bench,186,422
train,bb_logical_deduction_five_objects_013_rollout_001_prefix_1.json,bb_logical_deduction_five_objects_013,1,1,yes,big_bench,368,666
train,bb_logical_deduction_five_objects_013_rollout_002_prefix_0.json,bb_logical_deduction_five_objects_013,2,0,yes,big_bench,435,740
train,bb_logical_deduction_five_objects_013_rollout_004_prefix_1.json,bb_logical_deduction_five_objects_013,4,1,no,big_bench,253,461
train,bb_logical_deduction_five_objects_013_rollout_009_prefix_2.json,bb_logical_deduction_five_objects_013,9,2,no,big_bench,80,223
train,bb_logical_deduction_five_objects_013_rollout_015_prefix_2.json,bb_logical_deduction_five_objects_013,15,2,no,big_bench,86,233
train,bb_logical_deduction_five_objects_013_rollout_029_prefix_1.json,bb_logical_deduction_five_objects_013,29,1,no,big_bench,432,730
train,bb_logical_deduction_five_objects_016_rollout_000_prefix_3.json,bb_logical_deduction_five_objects_016,0,3,no,big_bench,1136,1744
train,bb_logical_deduction_five_objects_016_rollout_001_prefix_3.json,bb_logical_deduction_five_objects_016,1,3,no,big_bench,1041,1747
train,bb_logical_deduction_five_objects_016_rollout_003_prefix_0.json,bb_logical_deduction_five_objects_016,3,0,no,big_bench,588,1012
train,bb_logical_deduction_five_objects_016_rollout_004_prefix_4.json,bb_logical_deduction_five_objects_016,4,4,no,big_bench,228,499
train,bb_logical_deduction_five_objects_016_rollout_012_prefix_3.json,bb_logical_deduction_five_objects_016,12,3,no,big_bench,418,776
train,bb_logical_deduction_five_objects_016_rollout_016_prefix_1.json,bb_logical_deduction_five_objects_016,16,1,no,big_bench,892,1498
train,bb_logical_deduction_five_objects_016_rollout_019_prefix_3.json,bb_logical_deduction_five_objects_016,19,3,no,big_bench,332,660
train,bb_logical_deduction_five_objects_016_rollout_021_prefix_2.json,bb_logical_deduction_five_objects_016,21,2,no,big_bench,2204,3307
train,bb_logical_deduction_five_objects_016_rollout_022_prefix_0.json,bb_logical_deduction_five_objects_016,22,0,no,big_bench,493,940
train,bb_logical_deduction_five_objects_016_rollout_027_prefix_4.json,bb_logical_deduction_five_objects_016,27,4,no,big_bench,319,603
train,bb_logical_deduction_five_objects_016_rollout_029_prefix_1.json,bb_logical_deduction_five_objects_016,29,1,no,big_bench,536,1016
train,bb_logical_deduction_five_objects_026_rollout_003_prefix_0.json,bb_logical_deduction_five_objects_026,3,0,yes,big_bench,270,532
train,bb_logical_deduction_five_objects_026_rollout_004_prefix_1.json,bb_logical_deduction_five_objects_026,4,1,no,big_bench,147,322
train,bb_logical_deduction_five_objects_026_rollout_005_prefix_1.json,bb_logical_deduction_five_objects_026,5,1,no,big_bench,116,283
train,bb_logical_deduction_five_objects_026_rollout_026_prefix_0.json,bb_logical_deduction_five_objects_026,26,0,yes,big_bench,349,622
train,bb_logical_deduction_five_objects_026_rollout_029_prefix_1.json,bb_logical_deduction_five_objects_026,29,1,no,big_bench,123,280
train,bb_logical_deduction_five_objects_044_rollout_004_prefix_0.json,bb_logical_deduction_five_objects_044,4,0,yes,big_bench,535,974
train,bb_logical_deduction_five_objects_044_rollout_005_prefix_2.json,bb_logical_deduction_five_objects_044,5,2,no,big_bench,38,215
train,bb_logical_deduction_five_objects_044_rollout_006_prefix_1.json,bb_logical_deduction_five_objects_044,6,1,no,big_bench,211,477
train,bb_logical_deduction_five_objects_044_rollout_011_prefix_1.json,bb_logical_deduction_five_objects_044,11,1,no,big_bench,570,998
train,bb_logical_deduction_five_objects_044_rollout_013_prefix_0.json,bb_logical_deduction_five_objects_044,13,0,yes,big_bench,542,940
train,bb_logical_deduction_five_objects_044_rollout_013_prefix_1.json,bb_logical_deduction_five_objects_044,13,1,no,big_bench,287,581
train,bb_logical_deduction_five_objects_044_rollout_020_prefix_0.json,bb_logical_deduction_five_objects_044,20,0,no,big_bench,503,883
train,bb_logical_deduction_five_objects_044_rollout_022_prefix_0.json,bb_logical_deduction_five_objects_044,22,0,no,big_bench,276,581
train,bb_logical_deduction_five_objects_046_rollout_004_prefix_0.json,bb_logical_deduction_five_objects_046,4,0,no,big_bench,248,527
train,bb_logical_deduction_five_objects_046_rollout_005_prefix_0.json,bb_logical_deduction_five_objects_046,5,0,yes,big_bench,371,714
train,bb_logical_deduction_five_objects_046_rollout_007_prefix_0.json,bb_logical_deduction_five_objects_046,7,0,yes,big_bench,392,734
train,bb_logical_deduction_five_objects_046_rollout_009_prefix_0.json,bb_logical_deduction_five_objects_046,9,0,yes,big_bench,472,839
train,bb_logical_deduction_five_objects_046_rollout_014_prefix_1.json,bb_logical_deduction_five_objects_046,14,1,no,big_bench,705,1175
train,bb_logical_deduction_five_objects_046_rollout_016_prefix_2.json,bb_logical_deduction_five_objects_046,16,2,no,big_bench,53,248
train,bb_logical_deduction_five_objects_046_rollout_020_prefix_3.json,bb_logical_deduction_five_objects_046,20,3,no,big_bench,168,393
train,bb_logical_deduction_five_objects_046_rollout_023_prefix_3.json,bb_logical_deduction_five_objects_046,23,3,no,big_bench,355,692
train,bb_logical_deduction_five_objects_046_rollout_026_prefix_1.json,bb_logical_deduction_five_objects_046,26,1,no,big_bench,214,460
train,bb_logical_deduction_five_objects_052_rollout_007_prefix_0.json,bb_logical_deduction_five_objects_052,7,0,yes,big_bench,597,1095
train,bb_logical_deduction_five_objects_052_rollout_008_prefix_0.json,bb_logical_deduction_five_objects_052,8,0,no,big_bench,308,615
train,bb_logical_deduction_five_objects_052_rollout_019_prefix_1.json,bb_logical_deduction_five_objects_052,19,1,no,big_bench,74,270
train,bb_logical_deduction_five_objects_052_rollout_020_prefix_2.json,bb_logical_deduction_five_objects_052,20,2,yes,big_bench,602,1035
train,bb_logical_deduction_five_objects_052_rollout_020_prefix_3.json,bb_logical_deduction_five_objects_052,20,3,no,big_bench,357,692
train,bb_logical_deduction_five_objects_052_rollout_027_prefix_1.json,bb_logical_deduction_five_objects_052,27,1,no,big_bench,54,250
train,bb_logical_deduction_five_objects_052_rollout_028_prefix_0.json,bb_logical_deduction_five_objects_052,28,0,no,big_bench,326,630
train,bb_logical_deduction_five_objects_054_rollout_000_prefix_2.json,bb_logical_deduction_five_objects_054,0,2,no,big_bench,140,343
train,bb_logical_deduction_five_objects_054_rollout_005_prefix_1.json,bb_logical_deduction_five_objects_054,5,1,no,big_bench,29,211
train,bb_logical_deduction_five_objects_054_rollout_008_prefix_1.json,bb_logical_deduction_five_objects_054,8,1,no,big_bench,346,612
train,bb_logical_deduction_five_objects_054_rollout_026_prefix_1.json,bb_logical_deduction_five_objects_054,26,1,no,big_bench,142,350
train,bb_logical_deduction_five_objects_057_rollout_008_prefix_0.json,bb_logical_deduction_five_objects_057,8,0,yes,big_bench,605,997
train,bb_logical_deduction_five_objects_057_rollout_009_prefix_0.json,bb_logical_deduction_five_objects_057,9,0,yes,big_bench,552,904
train,bb_logical_deduction_five_objects_057_rollout_016_prefix_2.json,bb_logical_deduction_five_objects_057,16,2,no,big_bench,714,1130
train,bb_logical_deduction_five_objects_057_rollout_016_prefix_4.json,bb_logical_deduction_five_objects_057,16,4,no,big_bench,314,572
train,bb_logical_deduction_five_objects_057_rollout_018_prefix_1.json,bb_logical_deduction_five_objects_057,18,1,no,big_bench,161,377
train,bb_logical_deduction_five_objects_057_rollout_020_prefix_1.json,bb_logical_deduction_five_objects_057,20,1,no,big_bench,307,586
train,bb_logical_deduction_five_objects_057_rollout_025_prefix_1.json,bb_logical_deduction_five_objects_057,25,1,no,big_bench,340,620
train,bb_logical_deduction_five_objects_072_rollout_005_prefix_0.json,bb_logical_deduction_five_objects_072,5,0,yes,big_bench,634,1014
train,bb_logical_deduction_five_objects_072_rollout_006_prefix_0.json,bb_logical_deduction_five_objects_072,6,0,no,big_bench,303,542
train,bb_logical_deduction_five_objects_072_rollout_014_prefix_1.json,bb_logical_deduction_five_objects_072,14,1,no,big_bench,241,463
train,bb_logical_deduction_five_objects_072_rollout_022_prefix_0.json,bb_logical_deduction_five_objects_072,22,0,no,big_bench,289,549
train,bb_logical_deduction_five_objects_072_rollout_028_prefix_2.json,bb_logical_deduction_five_objects_072,28,2,no,big_bench,677,1082
train,bb_logical_deduction_five_objects_076_rollout_005_prefix_0.json,bb_logical_deduction_five_objects_076,5,0,yes,big_bench,333,624
train,bb_logical_deduction_five_objects_076_rollout_009_prefix_0.json,bb_logical_deduction_five_objects_076,9,0,yes,big_bench,581,968
train,bb_logical_deduction_five_objects_076_rollout_028_prefix_0.json,bb_logical_deduction_five_objects_076,28,0,yes,big_bench,437,770
train,bb_logical_deduction_five_objects_080_rollout_012_prefix_0.json,bb_logical_deduction_five_objects_080,12,0,yes,big_bench,612,969
train,bb_logical_deduction_five_objects_080_rollout_016_prefix_0.json,bb_logical_deduction_five_objects_080,16,0,yes,big_bench,1085,1666
train,bb_logical_deduction_five_objects_080_rollout_019_prefix_0.json,bb_logical_deduction_five_objects_080,19,0,yes,big_bench,896,1367
train,bb_logical_deduction_five_objects_080_rollout_019_prefix_1.json,bb_logical_deduction_five_objects_080,19,1,no,big_bench,441,758
train,bb_logical_deduction_five_objects_080_rollout_022_prefix_0.json,bb_logical_deduction_five_objects_080,22,0,yes,big_bench,905,1353
train,bb_logical_deduction_five_objects_080_rollout_022_prefix_5.json,bb_logical_deduction_five_objects_080,22,5,no,big_bench,30,215
train,bb_logical_deduction_five_objects_080_rollout_023_prefix_1.json,bb_logical_deduction_five_objects_080,23,1,yes,big_bench,607,977
train,bb_logical_deduction_five_objects_080_rollout_023_prefix_2.json,bb_logical_deduction_five_objects_080,23,2,yes,big_bench,597,966
train,bb_logical_deduction_five_objects_080_rollout_025_prefix_0.json,bb_logical_deduction_five_objects_080,25,0,no,big_bench,1001,1534
train,bb_logical_deduction_five_objects_080_rollout_026_prefix_1.json,bb_logical_deduction_five_objects_080,26,1,no,big_bench,392,695
train,bb_logical_deduction_five_objects_080_rollout_029_prefix_2.json,bb_logical_deduction_five_objects_080,29,2,no,big_bench,48,242
train,bb_logical_deduction_five_objects_083_rollout_016_prefix_0.json,bb_logical_deduction_five_objects_083,16,0,yes,big_bench,316,566
